base,ligand,solvent,concentration,temperature,yield,cost
CsOPiv,BrettPhos,DMAc,0.1,120,0.0,0.232133425
CsOPiv,X-Phos,BuCN,0.153,105,79.76,0.128801467
KOPiv,JackiePhos,DMAc,0.1,120,70.26,0.35511968
KOAc,PPh3,p-Xylene,0.057,120,2.59,0.04039615
CsOAc,tBPh-CPhos,BuOAc,0.1,105,0.0,0.326129261
CsOPiv,PCy3 HBF4,DMAc,0.153,120,13.88,0.113922918
KOPiv,PPhMe2,BuCN,0.1,105,0.0,0.045334292
CsOPiv,GorlosPhos HBF4,BuOAc,0.057,105,33.41,0.155241629
CsOAc,P(fur)3,DMAc,0.1,90,17.98,0.0841443519999999
KOAc,PPhtBu2,p-Xylene,0.153,120,0.0,0.040123498
CsOAc,PPh2Me,DMAc,0.153,105,3.24,0.068209762
KOPiv,CgMe-PPh,BuCN,0.057,90,51.32,0.097743613
KOAc,tBPh-CPhos,DMAc,0.153,105,57.33,0.264426975
CsOAc,X-Phos,p-Xylene,0.1,90,59.27,0.082532399
KOPiv,GorlosPhos HBF4,BuOAc,0.153,90,5.65,0.040538016
CsOPiv,CgMe-PPh,BuOAc,0.1,90,17.93,0.155954856
KOPiv,PPhtBu2,p-Xylene,0.057,90,0.0,0.056201541
CsOAc,tBPh-CPhos,BuCN,0.057,120,7.42,0.355149806
KOPiv,X-Phos,BuOAc,0.153,105,44.48,0.036840056
CsOPiv,tBPh-CPhos,BuCN,0.153,120,7.54,0.36267002
KOAc,PPh2Me,BuOAc,0.1,105,0.0,0.039067086
KOPiv,GorlosPhos HBF4,DMAc,0.057,105,27.93,0.047519333
CsOAc,CgMe-PPh,p-Xylene,0.1,90,23.05,0.105674757
CsOPiv,BrettPhos,BuOAc,0.153,90,21.5,0.235449405
